"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
3104;"Calicotome villosa";"Calicotome villosa";"(Poir.) Link";"Calicotome villosa";"(Poir.) Link";"Accepted";"species"
106;"Calluna vulgaris";"Calluna vulgaris";"(L.) Hull";"Calluna vulgaris";"(L.) Hill";"Accepted";"species"
98;"Carpinus betulus";"Carpinus betulus";"L.";"Carpinus betulus";"L.";"Accepted";"species"
72;"Castanea sativa";"Castanea sativa";"Mill.";"Castanea sativa";"Mill.";"Accepted";"species"
17;"Cedrus atlantica";"Cedrus atlantica";"(Endl.) Carrière";"Cedrus atlantica";"(Endl.) G.Manetti ex Carrière";"Accepted";"species"
217;"Cedrus deodara";"Cedrus deodara";"(Roxb. ex D.Don) G.Don in Loudon";"Cedrus deodara";"(Roxb. ex D.Don) G.Don";"Accepted";"species"
317;"Cedrus libani";"Cedrus libani";;"Cedrus libani";"A.Rich.";"Accepted";"species"
917;"Cedrus spp.";"Cedrus";;"Cedrus";"Trew";"Accepted";"genus"
13;"Celtis australis";"Celtis australis";"L.";"Celtis australis";"L.";"Accepted";"species"
67;"Ceratonia siliqua";"Ceratonia siliqua";"L.";"Ceratonia siliqua";"L.";"Accepted";"species"
18;"Chamaecyparis lawsoniana";"Chamaecyparis lawsoniana";"(A.Murray) Parl.";"Chamaecyparis lawsoniana";"(A.Murray bis) Parl.";"Accepted";"species"
160;"Chamaecytisus proliferus";"Chamaecytisus proliferus";"(L.f.) Link";"Chamaecytisus proliferus";"(L.f.) Link";"Accepted";"species"
369;"Chamaerops humilis";"Chamaerops humilis";"L.";"Chamaerops humilis";"L.";"Accepted";"species"
3690;"Chamaerops humilis";"Chamaerops humilis";"L.";"Chamaerops humilis";"L.";"Accepted";"species"
136;"Chamaespartium tridentatum";"Chamaespartium tridentatum";;"Genista tridentata";"L.";"Accepted";"species"
3101;"Cistus albidus";"Cistus albidus";"L.";"Cistus albidus";"L.";"Accepted";"species"
4101;"Cistus clusii";"Cistus clusii";"Dunal in DC.";"Cistus clusii";"Dunal";"Accepted";"species"
9073;"Cistus creticus";"Cistus creticus";"L.";"Cistus creticus";"L.";"Accepted";"species"
7101;"Cistus crispus";"Cistus crispus";"L.";"Cistus crispus";"L.";"Accepted";"species"
1101;"Cistus ladanifer";"Cistus ladanifer";"L.";"Cistus ladanifer";"L.";"Accepted";"species"
8101;"Cistus laurifolius";"Cistus laurifolius";"L.";"Cistus laurifolius";"L.";"Accepted";"species"
10101;"Cistus libanotis";"Cistus libanotis";"L.";"Cistus libanotis";"L.";"Accepted";"species"
5101;"Cistus monspeliensis";"Cistus monspeliensis";"L.";"Cistus monspeliensis";"L.";"Accepted";"species"
2101;"Cistus populifolius";"Cistus populifolius";"L.";"Cistus populifolius";"L.";"Accepted";"species"
2111;"Cistus psilosepalus";"Cistus psilosepalus";"Sweet";"Cistus laxus";"Aiton";"Accepted";"species"
11101;"Cistus psilosepalus";"Cistus psilosepalus";"Sweet";"Cistus laxus";"Aiton";"Accepted";"species"
6101;"Cistus salvifolius";"Cistus salvifolius";;"Cistus salviifolius";"L.";"Accepted";"species"
6101;"Cistus salviifolius";"Cistus salviifolius";"L.";"Cistus salviifolius";"L.";"Accepted";"species"
101;"Cistus spp.";"Cistus";;"Cistus";"L.";"Accepted";"genus"
9101;"Cistus symphytifolius";"Cistus symphytifolius";"Lam.";"Cistus symphytifolius";"Lam.";"Accepted";"species"
1132;"Clematis flammula";"Clematis flammula";"L.";"Clematis flammula";"L.";"Accepted";"species"
132;"Clematis spp.";"Clematis";;"Clematis";"L.";"Accepted";"genus"
2132;"Clematis vitalba";"Clematis vitalba";"L.";"Clematis vitalba";"L.";"Accepted";"species"
7103;"Colutea arborescens";"Colutea arborescens";"L.";"Colutea arborescens";"L.";"Accepted";"species"
1172;"Corema album";"Corema album";"(L.) D.Don in Sweet";"Corema album";"(L.) D.Don ex Steud.";"Accepted";"species"
172;"Corema spp.";"Corema";;"Corema";"D.Don";"Accepted";"genus"
139;"Coriaria myrtifolia";"Coriaria myrtifolia";"L.";"Coriaria myrtifolia";"L.";"Accepted";"species"
9;"Cornus sanguinea";"Cornus sanguinea";"L.";"Cornus sanguinea";"L.";"Accepted";"species"
900;"Cornus sanguinea";"Cornus sanguinea";"L.";"Cornus sanguinea";"L.";"Accepted";"species"
152;"Coronilla emerus";"Coronilla emerus";;"Hippocrepis emerus";"(L.) Lassen";"Accepted";"species"
1152;"Coronilla glauca";"Coronilla glauca";"L.";"Coronilla valentina  subsp. glauca";"(L.) Batt.";"Accepted";"subspecies"
3152;"Coronilla juncea";"Coronilla juncea";"L.";"Coronilla juncea";"L.";"Accepted";"species"
5104;"Coronilla spp.";"Coronilla";;"Coronilla";"L.";"Accepted";"genus"
74;"Corylus avellana";"Corylus avellana";"L.";"Corylus avellana";"L.";"Accepted";"species"
118;"Cotoneaster spp.";"Cotoneaster";;"Cotoneaster";"Medik.";"Accepted";"genus"
515;"Crataegus azarolus";"Crataegus azarolus";"L.";"Crataegus azarolus";"L.";"Accepted";"species"
415;"Crataegus lacinata";"Crataegus lacinata";;"Crataegus laciniata";"Ucria";"Accepted";"species"
315;"Crataegus laevigata";"Crataegus laevigata";"(Poir.) DC.";"Crataegus laevigata";"(Poir.) DC.";"Accepted";"species"
215;"Crataegus monogyna";"Crataegus monogyna";"Jacq.";"Crataegus monogyna";"Jacq.";"Accepted";"species"
15;"Crataegus spp.";"Crataegus";;"Crataegus";"L.";"Accepted";"genus"
1500;"Cultivo en mosaico";;;;;;
236;"Cupressus arizonica";"Cupressus arizonica";"Greene";"Cupressus arizonica";"Greene";"Accepted";"species"
336;"Cupressus lusitanica";"Cupressus lusitanica";"Mill.";"Cupressus lusitanica";"Mill.";"Accepted";"species"
436;"Cupressus macrocarpa";"Cupressus macrocarpa";"Hartw.";"Cupressus macrocarpa";"Hartw.";"Accepted";"species"
36;"Cupressus sempervirens";"Cupressus sempervirens";"L.";"Cupressus sempervirens";"L.";"Accepted";"species"
936;"Cupressus spp.";"Cupressus";;"Cupressus";"L.";"Accepted";"genus"
153;"Cytisophyllum sessilifolium";"Cytisophyllum sessilifolium";"(L.) O.Lang";"Cytisophyllum sessilifolium";"(L.) O.Lang";"Accepted";"species"
167;"Cytisus arboreus";"Cytisus arboreus";"(Desf.) DC.";"Cytisus arboreus";"DC.";"Accepted";"species"
1187;"Cytisus baeticus";"Cytisus baeticus";;"Cytisus arboreus";"DC.";"Accepted";"species"
2167;"Cytisus cantabricus";"Cytisus cantabricus";"(Willk.) Rchb.f. & Beck in Rchb.";"Cytisus cantabricus";"Rchb. ex Briq.";"Accepted";"species"
9011;"Cytisus commutatus";"Cytisus commutatus";"(Willk.) Briq.";"Cytisus commutatus";"(Willk.) Briq.";"Accepted";"species"
