"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"taxonomicStatus";"taxonRank"
6679;"Cochlospermum vitifolium";"Cochlospermum vitifolium";"(Willd.) Willd. ex Spreng.";"Cochlospermum vitifolium";"(Willd.) Spreng.";"Accepted";"species"
908;"Cocos nucifera";"Cocos nucifera";"L.";"Cocos nucifera";"L.";"Accepted";"species"
6681;"Cocos spp.";"Cocos";"L.";"Cocos";"L.";"Accepted";"genus"
6683;"Codiaeum variegatum";"Codiaeum variegatum";"(L.) A. Juss.";"Codiaeum variegatum";"(L.) A.Juss.";"Accepted";"species"
6684;"Coffea arabica";"Coffea arabica";"L.";"Coffea arabica";"L.";"Accepted";"species"
6686;"Coffea liberica";"Coffea liberica";"W. Bull ex Hiern.";"Coffea liberica";"W.Bull ex Hiern";"Accepted";"species"
6685;"Coffea robusta";"Coffea robusta";"L. Linden";"Coffea canephora";"Pierre ex A.Froehner";"Accepted";"species"
6687;"Coffea spp.";"Coffea";"L.";"Coffea";"L.";"Accepted";"genus"
6688;"Cojoba arborea";"Cojoba arborea";"(L.) Britton & Rose";"Cojoba arborea";"(L.) Britton & Rose";"Accepted";"species"
6689;"Cola acuminata";"Cola acuminata";"(P. Beauv.) Schott & Endl.";"Cola acuminata";"(P.Beauv.) Schott & Endl.";"Accepted";"species"
6691;"Colona scabra";"Colona scabra";"(Sm.) Burret";"Colona scabra";"(Sm.) Burret";"Accepted";"species"
6693;"Colubrina arborescens";"Colubrina arborescens";"(Mill.) Sarg.";"Colubrina arborescens";"Sarg.";"Accepted";"species"
6694;"Colubrina asiatica";"Colubrina asiatica";"(L.) Brongn.";"Colubrina asiatica";"Brongn.";"Accepted";"species"
864;"Colubrina elliptica";"Colubrina elliptica";"(Sw.) Briz. & Stern";"Colubrina elliptica";"(Sw.) Briz. & W.L.Stern";"Accepted";"species"
6697;"Colubrina oppositifolia";"Colubrina oppositifolia";"Brongn. ex Mann";"Colubrina oppositifolia";"Brongn. ex H.Mann";"Accepted";"species"
6699;"Colubrina spp.";"Colubrina";"Rich. ex Brongn.";"Colubrina";"Rich. ex Brongn.";"Accepted";"genus"
