"NFICode";"NFIName";"originalName";"originalNameAuthorship";"acceptedName";"acceptedNameAuthorship";"family";"genus";"specificEpithet";"taxonRank"
1154;"Dorycnium hirsutum";"Dorycnium hirsutum";"(L.) Ser. in DC.";"Lotus hirsutus";"L.";"Fabaceae";"Lotus";"hirsutus";"species"
154;"Dorycnium pentaphyllum";"Dorycnium pentaphyllum";"Scop.";"Lotus dorycnium";"L.";"Fabaceae";"Lotus";"dorycnium";"species"
7104;"Dorycnium spp.";"Dorycnium";;"Lotus";"L.";"Fabaceae";"Lotus";;"genus"
569;"Dracaena draco";"Dracaena draco";"L.";"Dracaena draco";"(L.) L.";"Asparagaceae";"Dracaena";"draco";"species"
569;"Dracaena drago";"Dracaena drago";;"Dracaena draco";"(L.) L.";"Asparagaceae";"Dracaena";"draco";"species"
1177;"Echinospartum boissieri";"Echinospartum boissieri";"(Spach) Rothm.";"Echinospartum boissieri";"(Spach) Rothm.";"Fabaceae";"Echinospartum";"boissieri";"species"
177;"Echinospartum spp.";"Echinospartum";;"Echinospartum";"(Spach) Fourr.";"Fabaceae";"Echinospartum";;"genus"
161;"Echium spp.";"Echium";;"Echium";"L.";"Boraginaceae";"Echium";;"genus"
1173;"Ephedra fragilis";"Ephedra fragilis";"Desf.";"Ephedra fragilis";"Desf.";"Ephedraceae";"Ephedra";"fragilis";"species"
173;"Ephedra spp.";"Ephedra";;"Ephedra";"L.";"Ephedraceae";"Ephedra";;"genus"
83;"Erica arborea";"Erica arborea";"L.";"Erica arborea";"L.";"Ericaceae";"Erica";"arborea";"species"
